F,F',R,R',B,B',L,L',U,U',D,D'
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.81,1.0,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81
1.0,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81
0.809999996,0.809999992,0.809999848,1.0,0.81,0.809999995,0.8099999995,0.809999944,0.809999999,0.809999992,0.81,0.809999997
0.809999997,0.809999999,1.0,0.809999969,0.8099999959999999,0.81,0.81,0.809999998,0.809999997,0.81,0.81,0.81
0.809999937,0.809999903,0.809999998,0.809999996,0.809999948,1.0,0.809999988,0.809999996,0.809999957,0.8099999875,0.809999999,0.809999964
0.809999999999993,0.8099999999999998,0.8099999999999851,0.81,1.0,0.8099999999995575,0.8099999999999915,0.81,0.8099999999997254,0.8099999999999772,0.8099999999999886,0.81
0.809999996,0.81,0.809999975,0.809999998,0.81,0.81,0.81,1.0,0.809999987,0.809999996,0.809999953,0.809999988
0.80999995530542,0.8099999995268555,0.8099999823880616,0.8099999197207032,0.8099999978339845,0.80999999868396,1.0,0.8099999992870217,0.8099992554218751,0.809999998251465,0.8099999317255859,0.8099994125517579
0.8099999999999464,0.8099999999978234,0.8099999999999972,0.8099999999999935,0.8099999999999976,0.809999999999977,0.8099999999998889,0.8099999999998897,0.8099999999995036,1.0,0.8099999999998754,0.8099999999999898
0.8099995485168676,0.8099999975115426,0.8099999997079336,0.8099999788315065,0.8099999999616154,0.8099999952658111,0.8099971506649933,0.8099987772213746,1.0,0.8099540005587158,0.8099999855671679,0.8099999466076111
0.8099999999766506,0.8099999623022445,0.809999992714403,0.8099999999999896,0.8099999999319722,0.8099999987989315,0.8099999829721213,0.8099999999135626,0.8099999996522844,0.8099999999802258,0.8099999999975336,1.0
0.8099999122199665,0.809999059790039,0.8099999951443471,0.8099999999465278,0.8099999624453211,0.8099995852509766,0.8099999088964205,0.8099943631742554,0.8099995898880006,0.809999908235714,1.0,0.8099987026740494
0.9,0.8999941698301392,0.7289999997010832,0.7289998805288735,0.7289999244332668,0.7289999998620803,0.7289999970397574,0.7289999995203671,0.7289999994388104,0.7289999923571222,0.7289999995931754,0.7289999999399854
0.728999999182081,0.7289998375539151,0.7289999943902656,0.9,0.7289999997807692,0.7289999862545605,0.7289999999792895,0.7289932192911988,0.7289998814455638,0.7289999541053334,0.7289999946830072,0.7289999998325013
0.7289999995187704,0.728999999322355,0.9,0.7289999713706415,0.7289995419859621,0.7289999880617264,0.7289999689711439,0.728995633083343,0.7289998901146447,0.7289965882222443,0.7289999998682106,0.7289999995704355
0.7289999845491957,0.899998028343399,0.7289999640965468,0.7289977804914857,0.7289998716937429,0.9,0.728999999992538,0.7289998896675302,0.7289997002330418,0.7289947626362305,0.7289999975505604,0.7289999898989533
0.7289374652553712,0.9,0.7289999977437757,0.7289988167201539,0.8999996174394838,0.7289998177146455,0.7289992579258653,0.7289999987165082,0.7289999988945761,0.7289980769114228,0.7289846534826661,0.728999999997797
0.7289999050976925,0.7289992229598085,0.7289999955628071,0.7289999912681887,0.7289999957698965,0.7289999345814403,0.7289999716168905,0.9,0.7289961692626954,0.7289999990839939,0.7289997643565789,0.7289999998735783
0.728999929291999,0.7289999999679553,0.7289998959899464,0.7289992717541578,0.7289999838727508,0.7289999884866498,0.9,0.7289999987175196,0.728999999732022,0.7289999999849046,0.7289999975720637,0.7289987878704225
0.7289999967597156,0.7289995404067842,0.7289998011740761,0.7289999993074348,0.7289999642182103,0.7289032455214844,0.7289994246472474,0.7289999087846823,0.7289995026972238,0.9,0.7289965380728151,0.72899955138863
0.712215773,0.6951622362500001,0.7271441433125001,0.7059836377500001,0.5915709595,0.7242158125000001,0.7183423464687501,0.7254085181250001,0.9,0.6777743685000001,0.7159230257500001,0.6768425965
0.672213181,0.6387384525,0.6833956305000001,0.7151164005000001,0.7102799540000001,0.7002472335000001,0.703729389,0.7133901455,0.7125092990000002,0.7037470135000001,0.6974114035000001,0.9
0.6902574015,0.704029995,0.7193618772500001,0.7130819545,0.679726016,0.7097597465000001,0.7099646047500001,0.650729279,0.716768072125,0.68095952,0.9,0.693183576
0.65735678,0.680050681,0.574986069,0.9,0.716672367,0.634252844,0.59702342,0.614277193,0.653537562,0.710742431,0.66227256,0.671652713
0.649881418,0.700774353,0.9,0.667632182,0.598391408,0.614022154,0.574046307,0.604530417,0.617669872,0.633033428,0.6963830500000001,0.645403489
0.826992496,0.665613392,0.578486196,0.650238972,0.632130972,0.9,0.689316848,0.7096001305,0.707904225,0.548331779,0.486712934,0.655877814
0.843893222,0.6501603745,0.572516409,0.649046385,0.9,0.6704216935,0.603690084,0.674971568,0.664376061,0.644001202,0.6436551835000001,0.698601943
0.6943285065,0.617682983,0.685847318,0.714722534,0.628904426,0.7125821355,0.665954315,0.9,0.580745618,0.564514187,0.582613332,0.438115346
0.622791453,0.626222641,0.612134921,0.638651557,0.65729198,0.682611444,0.9,0.656198776,0.682677805,0.479476717,0.624310736,0.670696222
0.667714617,0.693154078,0.63724109,0.511242301,0.691073049,0.648799942,0.6997610375000001,0.6658312930000001,0.630216592,0.9,0.629230825,0.610069354
0.67612689,0.552839622,0.701140577,0.708359252,0.671207586,0.567535239,0.586829212,0.647484426,0.9,0.604379337,0.631985795,0.592055701
0.349083798,0.628825341,0.536343154,0.7072964165,0.581805976,0.71548546575,0.617146586,0.655715837,0.495981324,0.614949728,0.700033517,0.9
0.6692611135000001,0.666357539,0.428425004,0.571822582,0.504003443,0.604363064,0.506589971,0.665753272,0.626721815,0.700886835,0.9,0.5973790685
0.570159349,0.9,0.610707223,0.632179077,0.655748571,0.622668961,0.685391937,0.690953634,0.606089459,0.670499052,0.668611585,0.601403863
0.9,0.706974666,0.676335274,0.665649866,0.708214726,0.541053069,0.690084678,0.54474075,0.601597293,0.623728605,0.677622453,0.673792611
0.635838382,0.682217128,0.857659004,0.9,0.607494686,0.669377064,0.611520128,0.572772974,0.671773405,0.353753894,0.44697601,0.593348555
0.698333182,0.646462623,0.636878326,0.579620268,0.609000702,0.9,0.691224002,0.369937217,0.640491434,0.517989655,0.599706692,0.646935346
0.647944538,0.542407085,0.703965202,0.438119012,0.9,0.507846545,0.63797671,0.603052696,0.577413831,0.640640273,0.48624482,0.580661083
0.595666747,0.576262506,0.662384298,0.9,0.671047989,0.69093835,0.641596098,0.828592203,0.541851437,0.597842409,0.517446503,0.637691286
0.615539888,0.682030965,0.6664771115000001,0.78059813,0.611024932,0.580568107,0.9,0.590594241,0.66178335,0.593552225,0.676181313,0.6959442585
0.618975923,0.650867353,0.648793817,0.602196049,0.583012571,0.657787812,0.6332196,0.559734013,0.264859782,0.9,0.632877109,0.561781997
0.612668023,0.581996325,0.716785114,0.684587622,0.672520623,0.571320697,0.481014722,0.59786946,0.9,0.702045995,0.667902541,0.589340394
0.57627846,0.612423245,0.695887862,0.577250823,0.568316068,0.632111645,0.533942369,0.646259871,0.626905235,0.695437659,0.655554409,0.9
0.715243829,0.686980243,0.401776368,0.66200371,0.695719387,0.696145795,0.577219746,0.63399667,0.618213798,0.71455806,0.9,0.630450438
0.633359808,0.9,0.681210536,0.666174238,0.680546258,0.573080575,0.632182361,0.273905845,0.5831655,0.587311769,0.624725603,0.684494894
0.9,0.615350726,0.636885085,0.647022029,0.681357436,0.661914479,0.674146734,0.599441023,0.705912799,0.642729334,0.681426955,0.617066657
0.601261198,0.534019851,0.665317688,0.647342076,0.665000593,0.9,0.660868205,0.665080696,0.539942789,0.613657238,0.677467083,0.440164377
0.553392409,0.689393563,0.647452027,0.633757614,0.9,0.7107018,0.548425679,0.577076962,0.58747649,0.578463749,0.669404046,0.518036595
0.682567043,0.671894799,0.785308314,0.709776196,0.656282476,0.668197721,0.605159823,0.9,0.602201295,0.634288565,0.611779323,0.566221634
0.547872686,0.670604243,0.813674695,0.628973165,0.692968097,0.408224159,0.9,0.693921275,0.493646205,0.68017423,0.445452106,0.6934993715000001
0.605990065,0.630523688,0.374279283,0.675869343,0.632459527,0.653452602,0.559853087,0.58183837,0.563280885,0.9,0.548596557,0.416474629
0.512853376,0.437540762,0.659543198,0.629846047,0.629493325,0.621567871,0.586386219,0.553437378,0.9,0.62376797,0.631519054,0.648000755
0.710466134,0.703943578,0.6756025,0.527459582,0.519917094,0.68457814,0.529327976,0.618479756,0.703372446,0.644808237,0.643043264,0.9
0.538473262,0.576289391,0.709508714,0.51931162,0.577002412,0.658936327,0.681341126,0.644819699,0.652365591,0.663869261,0.9,0.691599155
0.635951277,0.708495176,0.720840672,0.9,0.634014084,0.542009651,0.681012816,0.551895917,0.563588501,0.516311991,0.702319854,0.603388686
0.651217721,0.490409484,0.9,0.702524182,0.608925494,0.639162882,0.62812305,0.660688695,0.641457363,0.542346989,0.666401547,0.659457159
0.612227633,0.494855592,0.665887,0.576695922,0.556842042,0.9,0.6790255565000001,0.627969226,0.604558712,0.589011607,0.602473019,0.589548935
0.633103643,0.635758976,0.601968943,0.575580902,0.623861956,0.610354455,0.497336548,0.9,0.547977848,0.61013477,0.590336496,0.37125949
0.686022028,0.6740825,0.631654837,0.549766148,0.373301501,0.573526138,0.9,0.673133317,0.661237934,0.630205122,0.589160211,0.65884386
0.526426018,0.678267444,0.623631278,0.285349936,0.666412338,0.704753334,0.600650646,0.482460794,0.59330369,0.9,0.632564227,0.511950137
0.665411861,0.632274164,0.664214226,0.603035271,0.679701932,0.61372539,0.534938814,0.66237072,0.9,0.681363701,0.647114153,0.659781316
0.492804347,0.671659266,0.70540992,0.608331601,0.646575069,0.651389061,0.54081407,0.644124517,0.606502416,0.611367499,0.678511469,0.9
0.547879463,0.603475931,0.569587014,0.707245755,0.580826252,0.50207801,0.590112662,0.61202401,0.664289311,0.630671294,0.9,0.714057549
0.659313562,0.70451473075,0.639493757,0.9,0.550864259,0.692331053,0.519600948,0.669530113,0.391715285,0.636042698,0.683995128,0.648996966
0.6555910885,0.386149536,0.9,0.7078895277500001,0.697163563,0.697728877,0.6964672805000001,0.710265438,0.538592388,0.487618374,0.687330926,0.685276147
0.6947007765000001,0.69171919375,0.586211657,0.711285367,0.65442435,0.682954283,0.688272692,0.9,0.603606257,0.684695629,0.700876115,0.571432479
0.6294333365,0.604544887,0.485481201,0.486356899,0.691279074,0.627031145,0.9,0.624414649,0.582815452,0.5744364985000001,0.419331943,0.604193738
0.657713639,0.61611532,0.668297196,0.599109869,0.6794369195000001,0.6706318,0.569614483,0.713020705,0.533488394,0.9,0.498644049,0.51841959
0.706862943,0.701626484,0.707726847,0.641765743,0.717633263,0.661131755,0.6804489955,0.69852706,0.9,0.6985952630000001,0.693668373,0.566155121
0.627781326,0.424703526,0.623491694,0.629671327,0.664036612,0.492644818,0.677687507,0.520086578,0.614498601,0.419062559,0.62993863,0.9
0.682223111,0.632227508,0.559295427,0.553494178,0.680183286,0.591900529,0.64152198,0.622893841,0.713737924,0.416114213,0.9,0.691729499
0.485629947,0.9,0.424408746,0.593943742,0.668512266,0.576426151,0.688964226,0.646519232,0.672786607,0.647310082,0.624661707,0.504931927
0.9,0.613532081,0.609277712,0.492752013,0.558381216,0.630337096,0.64387283,0.631214926,0.534532877,0.480698952,0.404195901,0.492668617
0.647645391,0.683529019,0.668309054,0.576497541,0.435039965,0.9,0.554522546,0.627874466,0.590433827,0.62945313,0.496464297,0.607719692
0.679983427,0.630444353,0.606008783,0.654566542,0.9,0.697233018,0.66692152,0.501044306,0.574021625,0.659398269,0.665686457,0.575299282
0.551919811,0.435121525,0.637243514,0.668806326,0.5489264690000001,0.689571508,0.815987428,0.9,0.664117605,0.601094213,0.47151766,0.599618747
0.69152816,0.641784726,0.608931424,0.62670598,0.544184883,0.609495045,0.645821067,0.61254111,0.557063398,0.9,0.587022022,0.627249829
0.66735795,0.693728224,0.676422891,0.445433084,0.710561523,0.600325688,0.642370797,0.703101871,0.9,0.683262316,0.641579189,0.584249368
0.578699501,0.655388478,0.66510065,0.652012669,0.584530582,0.49755327,0.665655205,0.642473403,0.528155422,0.673803422,0.592159696,0.9
0.621022489,0.701916407,0.6377466,0.551800732,0.62640271,0.694124837,0.656841962,0.674505379,0.606791034,0.577816302,0.9,0.664806567
0.536498532,0.9,0.669270515,0.7162304815,0.674873458,0.641414418,0.670505259,0.701834708,0.684778068,0.563820943,0.65601837,0.682614758
0.9,0.636040371,0.51643929,0.671696302,0.697536008,0.680612111,0.672037982,0.700354224,0.433348333,0.629524321,0.611866492,0.66988082
0.630987047,0.589274631,0.649136913,0.673134765,0.6840532320000001,0.9,0.649601051,0.605383775,0.526399295,0.602099451,0.505072186,0.602602861
0.662012839,0.675134708,0.603665909,0.598329866,0.9,0.680390545,0.7035127315,0.683592219,0.588318826,0.623660473,0.604403,0.538036169
0.71653694175,0.686945804,0.627120555,0.493482809,0.590917214,0.514512532,0.491622799,0.272262347,0.6233896138374999,0.9,0.5476973227,0.510301877
0.7145841889907838,0.43558771099999966,0.294623048,0.714092769353124,0.7140707512960328,0.7144966261188472,0.7236979650078452,0.6873791029978517,0.9,0.6113709804875,0.7128457915876965,0.7251889246929688
0.7108697312070309,0.4007543109999999,0.7267939707843751,0.5380276519999955,0.7286612990663288,0.6379698681761719,0.5544373125546875,0.7165886886612977,0.5393659745500001,0.6881549166872725,0.6558595588312501,0.9
0.6952314438875,0.7264244518050478,0.7231782995546876,0.65809702109375,0.5933488230761972,0.7183925363408691,0.567145624249993,0.5539652987500001,0.6971654894105643,0.7252307326370769,0.9,0.6217179509775558
0.7275985899765606,0.9,0.72029483326875,0.7270641742964297,0.6990619319062397,0.7043403059783607,0.7133569339403321,0.7059801218244469,0.641413258125,0.6999440439706636,0.7142432740625,0.5039395928250001
0.9,0.64286538075,0.7221810416173183,0.6412815348750001,0.7180097266457028,0.6622833097491851,0.6828753293531251,0.6605910710562429,0.7015154471726563,0.6845481362072754,0.611340260025,0.7062252896657251
0.4813067650020637,0.7233184716823978,0.6759090548029529,0.9,0.7201872039203117,0.6513644931132966,0.7176728078445775,0.7205783859992189,0.7154469487750001,0.7200145588234375,0.638734337359375,0.3823314966
0.7177098054329648,0.7258237446457304,0.9,0.7224950889373392,0.6688984844742187,0.580652317034375,0.6302029236187474,0.7059530988878897,0.6408169641750001,0.6829799747226564,0.5858531720875,0.716001385952124
0.6430818923749995,0.7286479928656808,0.7062963843808594,0.6933552688133097,0.6813537491933506,0.9,0.7185810405730958,0.7236104386386086,0.620758478475,0.7031738322652344,0.69064540131875,0.6881815770979867
0.6975977179999131,0.5704118142499152,0.7228090467960872,0.718969918929419,0.9,0.091993671,0.670603091125,0.6910559978189431,0.7143820554921874,0.704363691721875,0.545209192465625,0.7172278517461419
0.7215897962721606,0.7186407908935546,0.7066996422811203,0.7262124552851563,0.35885365915,0.6776723108234197,0.574893379950779,0.9,0.6928761928281233,0.7254736698046875,0.6225405368507813,0.6946740636042
0.5487747884999994,0.6464847811312456,0.6873763145625,0.6867452301875,0.6924114924812457,0.7038698836062499,0.9,0.7283994331443115,0.6171705646625,0.7034898582531094,0.5680209982458401,0.67721789509375
0.5403325535,0.6629107652636719,0.7072412824999997,0.7255049978811486,0.6733514042554688,0.640676137038086,0.7051709790886505,0.7073115630784756,0.8955519310625,0.9,0.5275580853999999,0.6325549435804688
0.6399127804981422,0.727826972972077,0.7043060888172257,0.6796699205125001,0.704771725685315,0.6406732333648416,0.7211595862684719,0.7277107013615478,0.7075155669332567,0.9,0.5712451159062499,0.827099965625
0.7066184122500001,0.6651481802373527,0.6989275275562499,0.449388370496875,0.6688741236968749,0.6885017140557175,0.6514293206249999,0.6972621366242409,0.7081281381874951,0.8300814996250001,0.9,0.7119964843694382
0.640110429375,0.9,0.6922796615000001,0.7075939650828125,0.6826244685031237,0.727781195680842,0.699651424625,0.6409472051984364,0.682045432828125,0.4285778062499999,0.6560166112125001,0.7252261307516562
0.9,0.6898089960656251,0.3718516300741958,0.7187373917778233,0.7179711046234369,0.7047226321269395,0.6859951058499858,0.7025539087648851,0.6797054172796876,0.5932261265000001,0.7216833230777678,0.681340802534302
0.5834952802498484,0.6570574776851563,0.6599951231493515,0.9,0.7199813047460206,0.5211954333,0.43209436583125005,0.6522186994886837,0.7252677300589904,0.69294767172094,0.7066939294231875,0.7167399121721376
